1001	1	100000	123	001	0101	4455	1	2	01210313000137	EMPRESA	DE CARRO					0	DINHEIRO
1002	2	50000	1241					1		ENVOLVIDO 4	RG	442456 SSP/PE				0	
1003	2	50000	1242					1		ENVOLVIDO 4	RG	442456 SSP/PE				0	
1004	3	45250	101						01666666000146	NOME DO CEDENTE			84610000001058100100509051499836863214040508			0	
1005	4	400000	0122	888	0101	222221	1	1	12345678909	MARLENE MATOS						0	
1006	5	100050	4654	104	2344	77777	1	2	11112222333359	CALDOS E COMPANHIA SA						0	
1009	6	100000	46546													0	
1010	7	100000	041651							RECEBEDOR DO CHEQUE FINAL						0	
1011	8	100000	254						78943213204	PESSOA BENEFICIARIA DO CHEQUE FINAL				NOME DO ENDOSSANTE	RG 12334 SSP/DF	0	SAQUE EM ESPECIE
1012	9	900000	126	888	0103	333331	1	2	11112222111100	PJ MATERIAIS DE CONSTRUÇÃO						0	
1013	10	100000	127	104	2311	001004445		1	66666666151	MARIA DA SILVA						0	
1014	11	150000	2123	888	0102	456555	1	1	55555555121	FULANO DA SILVA						0	
1015	11	50000	2123	001	2315	9799		1	77777777181	CICLANO DE SOUZA						0	
1016	12	150000	2123	888	0102	456555	1	1	55555555121	FULANO DA SILVA						0	
1017	13	50000	2123	001	2315	9799		1	77777777181	CICLANO DE SOUZA						0	
1018	14	1300000	015	104	2122	9890980		1	01234567890	PESSOA QUE RECEBEU O DOC						0	
1019	15	340000	016	205	0005	004756		2	77778888777745	EMPRESA QUE FEZ O TED						0	
1020	16	200000	017													0	
1021	17	500000	018													0	
1022	18	205450	001542							NOME PESSOA DO VERSO	RG	78954		JOSE ENDOSSOU ANVERSO	RG 777	0	
1023	19	450000	22601	888	0102	07303	1	1	35463200009	JOAO ALMEIDA						0	
1024	19	550000	22602	604	6016	6466001		2	03456273000133	EMPRESA DO PAPAI						0	
1025	20	3800000	227													0	
1026	21	450000	22601	888	0102	07303	1	1	35463200009	JOAO ALMEIDA						0	
1027	22	550000	22602	604	6016	6466001		2	03456273000133	EMPRESA DO PAPAI						0	
1028	23	550000	22602	604	6016	6466001		2	03456273000133	EMPRESA DO PAPAI						0	
1029	24	40000	10333	888	0101	111111		1	20050506870	INVESTIGADO	200					0	
